premier, first
perdu, lost
main, hand
cote,side
pouvoir, power
vieux, old
sois, be
tiens, here
matin, morning
teilement, so much
enfant, child
point, point
venu, came
suite, after
pardon, sorry
mari, husband
cause, cause
enfin, finally
espere, hope
eau, water
attendez, Wait
parti, left
nouvelle, new
boulot, job
arreter, Stop
dirait, would say
terre, Earth
compte, account
donne, given
loin,far
fin, end
